Buffer No.,Packet,Start Time (s),End Time (s),ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,IDE
7,1,-0.24162406766709,-0.240485958479919,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,2,-0.240399619701719,-0.239720518501567,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,3,-0.23153561995241,-0.230475846763024,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,4,-0.230233347989241,-0.229572678788567,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,5,-0.221440004237934,-0.220302151050756,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,6,-0.220198404273049,-0.219519303072896,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,7,-0.21160346051613,-0.210543687326744,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,8,-0.210361860551245,-0.209701191350572,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,9,-0.2014991408019,-0.200361031614729,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,10,-0.200240132837507,-0.199561031637355,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,11,-0.19140224508746,-0.190342215898081,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,12,-0.190073861125029,-0.189413191924355,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,13,-0.18130637337299,-0.180168520185813,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,14,-0.180056069408352,-0.179376968208199,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,15,-0.171469829651187,-0.170410056461801,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,16,-0.170245637685809,-0.169584968485136,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,17,-0.168011269749002,-0.166923336560412,08 80 A0 00,0,0,6,0C 01 00 00 00 00,18 36,0,1,1,1,1
7,18,-0.16670694978589,-0.165464648601666,08 60 60 00,0,0,8,0C 01 00 00 00 00 00 00,7D 91,0,1,1,1,1
7,19,-0.161333509937862,-0.160195400750691,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,20,-0.160022277974946,-0.159343176774793,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,21,-0.151227654223675,-0.150167881034289,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,22,-0.149925382260506,-0.149264713059832,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,23,-0.141132038509198,-0.139993929322028,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,24,-0.13983821454579,-0.139158857345645,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,25,-0.131303942787156,-0.13024416959777,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,26,-0.130019078823494,-0.129358409622821,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,27,-0.121208327072679,-0.120070217885509,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,28,-0.120001287106817,-0.119322185906664,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,29,-0.111111431358239,-0.11005140216886,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,30,-0.109904391392377,-0.109243722191703,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,31,-0.100998151644262,-0.0998602984570841,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,32,-0.0996782156815925,-0.0989991144814401,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,33,-0.0909009999298291,-0.0898412267404428,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,34,-0.0896509519651829,-0.0889902827645092,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,35,-0.0810657362079894,-0.0799278830208113,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,36,-0.0796935762467967,-0.0790144750466443,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,37,-0.0709685844935564,-0.0699085553041773,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,38,-0.0696576085306333,-0.0689969393299595,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,39,-0.0608727127790871,-0.0597348595919091,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,40,-0.0595005528178945,-0.058821451617742,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,41,-0.0507755610646541,-0.049715531875275,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,42,-0.0495859290982992,-0.0489260278976037,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,43,-0.0409408093427999,-0.039802700155629,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,44,-0.0396121693803764,-0.0389330681802239,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,45,-0.0308436576283668,-0.029784396438966,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,46,-0.0296199776629749,-0.0289600764622794,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,47,-0.0207403619141076,-0.0196022527269367,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,48,-0.0195504739477599,-0.0188713727476074,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,49,-0.0106432101996745,-0.00958318101029544,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,50,-0.00938420223528169,-0.00872353303460795,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,51,-0.000530186485690365,0.000607410701494932,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,52,0.00084146147551678,0.00152056267566923,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,53,0.00930610123612041,0.0103661304254995,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,54,0.0105738132002671,0.0112344824009408,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,55,0.0193932689508358,0.0205311221380139,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,56,0.0207654289120285,0.0214445301121809,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,57,0.0294904206652689,0.0305501938546552,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,58,0.0308449166269611,0.0315055858276349,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,59,0.0395862923797381,0.0407236335669307,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,60,0.0409666443406991,0.0416457455408515,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,61,0.049413876101795,0.0504736492911814,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,62,0.0506467720669264,0.0513074412676001,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,63,0.0595097478162643,0.0606476010034424,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,64,0.0607165317821341,0.0613956329822866,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,65,0.0696066435307046,0.0706664167200909,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,66,0.0708915074943661,0.0715521766950399,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,67,0.079702259245181,0.0808396004323736,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,68,0.0809172352108192,0.0815963364109716,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,69,0.0897986429596358,0.0908584161490221,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,70,0.0910054269255056,0.0916660961261794,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,71,0.0996426106812294,0.100780463868407,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,72,0.100875506646361,0.101554607846513,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,73,0.10973950639567,0.110799279585056,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,74,0.111076594357854,0.111737007558535,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,75,0.1198438261099,0.120981679297078,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,76,0.121059314075524,0.121738671275669,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,77,0.12994072182434,0.131000495013726,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,78,0.131191025788979,0.131851694989653,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,79,0.13977598554618,0.140914094733351,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,80,0.140983025512043,0.141662126712195,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,81,0.14987288126062,0.150932654450006,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,82,0.151149297224521,0.151809710425202,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,83,0.159968496975097,0.161106606162267,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,84,0.161166832941205,0.161845934141358,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,85,0.170065392689537,0.171125421878916,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,86,0.171272176655407,0.17193284585608,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,87,0.180161264404006,0.181299117591184,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,88,0.181437680367907,0.182116781568059,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,89,0.18999780812581,0.191057581315196,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,90,0.191352048087509,0.192012717288183,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,91,0.20010212784004,0.201239981027218,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,92,0.201326319805418,0.20200542100557,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,93,0.21019902355448,0.211258796743867,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,94,0.211414511520104,0.212075180720778,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,95,0.220294639268957,0.221432748456128,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,96,0.221510127234581,0.222189484434726,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,97,0.230105070991499,0.231164844180885,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
