Buffer No.,Packet,Start Time (s),End Time (s),ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,IDE
7,1,-0.241287683676603,-0.240228422487202,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,2,-0.240072707710965,-0.239412038510291,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,3,-0.231435523955241,-0.230297414768071,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,4,-0.230211331989864,-0.229532230789711,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,5,-0.22133018024104,-0.220270919051639,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,6,-0.220106500275648,-0.219445831074974,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,7,-0.219420676295044,-0.218603847098787,08 A0 60 00,0,0,3,00 03 0C,09 61,0,1,1,1,1
7,8,-0.211356420523117,-0.210218567335939,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,9,-0.21003674056044,-0.209357639360288,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,10,-0.201224964809654,-0.200165703620254,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,11,-0.199931908846224,-0.199270983645558,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,12,-0.191112453095656,-0.18997485590847,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,13,-0.189775365133471,-0.189096263933319,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,14,-0.181007109381454,-0.179947848192054,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,15,-0.179661829419501,-0.179001160218828,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,16,-0.170868485668194,-0.169730376481023,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,17,-0.169653253702563,-0.168974152502411,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,18,-0.161015301946861,-0.159956040757461,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,19,-0.159765509982208,-0.159104840781534,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,20,-0.150911494232616,-0.149773385045446,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,21,-0.149678598267485,-0.148999497067333,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,22,-0.140806150518415,-0.139746889329014,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,23,-0.139521542554746,-0.138860873354073,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,24,-0.130693638804416,-0.129556041617231,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,25,-0.1294955588383,-0.128816713638141,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,26,-0.120848903082845,-0.119789641893444,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,27,-0.119547143119661,-0.118886473918987,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,28,-0.110736391368846,-0.109598538181668,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,29,-0.1093731914074,-0.108694090207247,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,30,-0.100630791654652,-0.099571530465251,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,31,-0.0994332236885214,-0.0987725544878476,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,32,-0.0905182799406532,-0.0893804267534751,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,33,-0.0891118159804307,-0.0884327147802783,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,34,-0.0804126802264591,-0.0793529070370728,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,35,-0.0791623762618201,-0.0785017070611463,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,36,-0.0705513045053578,-0.0694134513181798,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,37,-0.0693621845389885,-0.068683083338836,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,38,-0.060446472791142,-0.0593872116017412,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,39,-0.0592489048250116,-0.0585882356243378,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,40,-0.0503339610771434,-0.0491963638899581,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,41,-0.049040393113728,-0.0483612919135755,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,42,-0.0402283613629493,-0.0391685881735629,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,43,-0.0390215773970795,-0.0383609081964057,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
