Buffer No.,Packet,Start Time (s),End Time (s),ID,RTR,FDF,DLC,Data,CRC,ACK,CRC Valid,Bit Stuffing Valid,Valid,IDE
7,1,-0.242216451650336,-0.241078854463151,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,2,-0.240861955688644,-0.240182854488491,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,3,-0.232371459928771,-0.23131219873937,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,4,-0.23105229196608,-0.230391366765413,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,5,-0.222250244215019,-0.221112135027848,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,6,-0.221035012249388,-0.220355911049235,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,7,-0.212136452501056,-0.211077191311656,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,8,-0.210825988538119,-0.210165319337445,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,9,-0.202032644786811,-0.200895303599619,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,10,-0.200652292825851,-0.199972935625705,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,11,-0.19212672506697,-0.191067463877569,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,12,-0.190859781102802,-0.190199111902128,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,13,-0.182014213352971,-0.180876616165786,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,14,-0.180720645389556,-0.180041544189404,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,15,-0.17190886963877,-0.170849608449369,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,16,-0.170693893673132,-0.170033224472458,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,17,-0.161796357924771,-0.160658504737593,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,18,-0.160546309960125,-0.159867208759973,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,19,-0.151951366203207,-0.150892105013806,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,20,-0.150745094237323,-0.150084425036649,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,21,-0.141830406489447,-0.140692297302276,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,22,-0.140571398525054,-0.139892297324902,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,23,-0.131716102775499,-0.130656841586098,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
7,24,-0.130501126809861,-0.129840457609187,02 20 60 00,0,0,1,0C,61 41,0,1,1,1,1
7,25,-0.121594887061747,-0.120457545874554,01 C0 C0 00,0,0,7,00 50 00 00 00 C2 02,3B 38,0,1,1,1,1
7,26,-0.120370951096362,-0.119692105896202,01 E0 A0 00,0,0,1,2C,6E 28,0,1,1,1,1
7,27,-0.111767815339675,-0.110708554150274,02 00 C0 00,0,0,6,02 36 00 00 50 00,4B 87,0,1,1,1,1
